Nimi,group1,group2,group3,_Unit,Energiaa,Rasvaa,Hiilihydraattia,Proteiinia,Suola,Ravintokuitua,group4,Sokeria
löfbergs lila kharisma 500g,Juomat:994,Kahvit ja suodatinpaperit:2609,Suodatinjauhatuskahvit:2610,,0.0,,,,,0.0,,0.0
savukirjolohifilee,Kala:262,Kalatiski:263,Savukalat:286,,0.0,,,,,,Lämminsavu-/hiillostettu kala palv:291,0.0
tortelloni 5 types of cheese,,,,,,,,,,,,0.0
muovikassi 40l harmaa,,,,,0.0,,,,,,,0.0
prisma 40l muovikassi,,,,,0.0,,,,,,,0.0
paprika-juustociabatta,Leipä:701,Kaupan paistopiste:717,Ruokaleivät:12531,,0.0,,,,,,,0.0
pf 1.4kg adult sterile kanaa,,,,,,,,,,,,0.0
juhla mokka tosi tumma 450 g kahvi,Juomat:994,Kahvit ja suodatinpaperit:2609,Suodatinjauhatuskahvit:2610,,0.0,,,,,,,0.0
pedigree jumbone 200g medium,Lemmikit:1337,Koiranruoat:1338,Koiran ajanvietetuotteet:1361,,0.0,,,,,,Herkkuluut:1363,0.0
tuna chunks in oil. skipjack,Kala:262,Kalasäilykkeet:340,Tonnikalasäilykkeet:343,,0.0,,,,,,,0.0
k1664 blanc 4.5% 0.33l pullo olut,,,,,,,,,,,,
pantti lasi/muovi,,,,,,,,,,,,
muovikassi,,,,,0.0,,,,,,,
super soft toilet paper,Koti ja siivous:1521,Wc-paperit:1522,Premium-laatu:1523,,0.0,,,,,,,
hoitoaine hedel,Hygienia:1612,Shampoot ja hoitoaineet:1644,Huuhdeltavat hiustenhoitoaineet:2108,,0.0,,,,,,,
erisan 200ml muotovaahto,Hygienia:1612,Hiusten muotoilutuotteet:1656,Muotovaahdot:1657,,0.0,,,,,,,
fbo multigrain baguette topped w se,Leipä:701,Kaupan paistopiste:717,Ruokaleivät:12531,,0.0,,,,,,,
muovikassi 40l,,,,,0.0,,,,,,,
omena shampion,Hedelmät ja vihannekset:1,Hedelmät:2,Omenat:10,,0.0,,,,,,"Omenat, punaiset:12",
inkivääri tuore,Hedelmät ja vihannekset:1,Juurikasvit:64,"Juurikasvit, muut:11845",,0.0,,,,,,,
nektariinirasia,Hedelmät ja vihannekset:1,Hedelmät:2,Kivihedelmät:24,,0.0,,,,,,Nektariinit:25,
rjm 0.4l väkiviinaetikka,,,,,,,,,,,,
norlyn gloss 41574 15 den naisten sukkahousut,,,,,,,,,,,,
sukkahousu satinultra 15d,Vaatteet ja pukeutuminen:3090,Naisten pukeutuminen:3136,Alusvaatteet:4199,,0.0,,,,,,Sukkahousut:13219,
kauravarras 100%,Leipä:701,Kaupan paistopiste:717,Ruokaleivät:12531,,0.0,,,,,,,
house pilkku maljakko/lämpökynttilälyhty 16 cm. turkoosi,Valo ja sähkö:2581,Jouluvalot:14010,Sisäjouluvalot:14011,,0.0,,,,,,,
ruukkutilli,Hedelmät ja vihannekset:1,Yrtit:79,,,0.0,,,,,,,
