Nimi,group1,group2,group3,_Unit,Energiaa,Rasvaa,Hiilihydraattia,Proteiinia,Suola,Ravintokuitua,group4,Sokeria
maustettu rahka 200g irish cream,Maito:351,Ruoanvalmistustuotteet:371,Rahkat kylmästä:1777,g,652.0,7.0,16.0,7.2,0.08,0.0,,0.0
lempi 200g 28% lton crème fraiche,Maito:351,Ruoanvalmistustuotteet:371,Ranskankermat kylmästä:1781,g,1132.0,28.0,2.5,2.3,0.1,0.0,,0.0
valio hedtarha luomumustmehu 1l,Juomat:994,Mehut:1018,Juomavalmiit mehut ja juomat:1021,g,158.0,0.0,9.2,0.0,0.0,0.0,,0.0
maustettu rahka 200g appels lton,Maito:351,Ruoanvalmistustuotteet:371,Rahkat kylmästä:1777,g,650.0,7.0,16.0,7.2,0.1,,,0.0
alpro 400g mango pbay soijavalmiste,Maito:351,Jogurtit:390,Ei-maitopohjainen valmiste:2601,g,255.0,2.0,5.8,3.7,0.22,1.0,,0.0
kotimaista 325g edamjuusto,Juustot:417,Edam juusto:418,Edamjuustopalat:1824,g,1300.0,23.0,,26.0,1.0,,,0.0
pastella 250g fettucc pinaat tuorep,Valmisruoka:497,Aterian osat:12846,Tuorepasta:12868,g,1120.0,2.5,48.0,11.0,0.0,2.7,,0.0
miniluumutomaatti rasia,Hedelmät ja vihannekset:1,Vihannekset:40,Tomaatit:41,g,95.0,0.1614,3.45,0.56,2.5,1.4,,0.0
knorr 570ml tomaattikeitto mascarpo,Valmisruoka:497,Keitot:1797,Muut valmiit keitot:3086,g,240.0,2.9,6.5,1.3,0.7,0.5,,0.0
vaasan ruispalat 330g/6 tjruisleipä,Leipä:701,Tuore leipä:702,Tummat palaleivät:710,g,1075.0,1.6,46.0,9.3,1.1,10.0,,0.0
hk 900g karjalanpaisti,Liha:80,Naudanliha:178,Naudan pata- ja keittolihat:179,g,710.0,10.0,0.0,20.0,0.15,,,0.0
latz 12x100g sensations suos hyyt,Lemmikit:1337,Kissanruoat:1397,Kosteat kissan ruoat:1804,g,0.0,3.0,,13.0,,0.5,Kissan monipakkauspussit yli 8 kpl:1814,0.0
nescafé kulta 300g smart pack,Juomat:994,Kahvit ja suodatinpaperit:2609,Pikakahvit:2613,g,11.0,0.0,0.1,0.2,0.0,0.7,,0.0
karl fazer 190g mustikkajog sukllev,"Makeiset, jäätelöt ja naposteltavat:1144",Suklaat:1145,Maitosuklaalevyt:1154,g,2232.0,32.0,51.0,11.0,0.34,,,0.0
fazerin parhain 220g,"Makeiset, jäätelöt ja naposteltavat:1144",Karkkipussit:1155,Makeissekoitepussit - ja pakkaukset:1157,g,1680.0,4.7,88.0,1.6,0.09,,,0.0
pihlaja 220g  marmeladimakeinen,"Makeiset, jäätelöt ja naposteltavat:1144",Karkkipussit:1155,Hedelmämakeispussit ja -rasiat:1159,g,1372.0,0.5,80.0,0.5,0.25,,,0.0
mttu rahka 200g mansikka lton,Maito:351,Jogurtit:390,Herkuttelujogurtti:2599,g,500.0,4.7,12.0,5.5,0.1,,,0.0
del monte 220g ananasviipale mehuss,Kuivatuotteet:895,Säilykkeet:941,Hedelmä ja marjasäil:946,g,286.0,0.1,15.5,0.4,,,,0.0
kulta katriina 500g tumma sj kahvi,Juomat:994,Kahvit ja suodatinpaperit:2609,Suodatinjauhatuskahvit:2610,g,13.0,0.1,0.3,0.3,,,,0.0
yosa kauravälipala 400g metsämarja,Maito:351,Jogurtit:390,Ei-maitopohjainen valmiste:2601,g,230.0,0.6,12.5,1.2,0.03,1.1,,0.0
apetina snack 100g chili,Juustot:417,Ruokajuustot:447,Fetatyyppiset juustot:2857,g,1280.0,27.0,0.6,15.0,3.4,,,0.0
atria 300g coleslaw,Valmisruoka:497,Salaatit:498,Majoneesisalaatit:499,g,774.0,17.0,5.9,1.1,0.51,1.4,,0.0
peanuts f&s 38/42,Leivonta ja maustaminen:807,Kuivat hedelmät ja pähkinät:839,Mantelit ja pähkinät:2764,g,2530.0,49.0,14.0,25.0,1.3,,,3.5
tumma kalastajanlimppu 420g tjruisl,Leipä:701,Tuore leipä:702,Limput:715,g,1164.0,6.0,47.0,9.0,1.1,6.4,,
valio mttu rahka 200g vanilja lton,Maito:351,Ruoanvalmistustuotteet:371,Rahkat kylmästä:1777,g,687.0,8.8,14.0,7.3,0.1,,,
knorr 61g kana-nuudelikeitto,Valmisruoka:497,Keitot:1797,Kanakeitot:3087,g,1320.0,3.6,57.0,13.0,14.4,3.7,,
kotimaista creme fraiche18%150g vl.,Maito:351,Ruoanvalmistustuotteet:371,Ranskankermat kylmästä:1781,g,770.0,18.0,3.5,2.5,0.1,0.0,,
vaasan ruispalat tumma herkku 450g,Leipä:701,Tuore leipä:702,Tummat palaleivät:710,g,1033.0,1.3,44.0,9.6,1.1,9.7,,
karl fazer 200g kok hasselpä suklev,"Makeiset, jäätelöt ja naposteltavat:1144",Suklaat:1145,Maitosuklaalevyt:1154,g,2223.0,30.0,51.0,8.2,0.14,,,
knorr 570ml tomaattikeitto paprikal,Valmisruoka:497,Keitot:1797,Muut valmiit keitot:3086,g,250.0,3.3,5.6,1.2,0.6,1.2,,
valio maust rahka 200g kuningatar,Maito:351,Ruoanvalmistustuotteet:371,Rahkat kylmästä:1777,g,650.0,7.0,16.0,7.2,0.1,1.0,,
cured ham tortelloni (tortelloni pr,Valmisruoka:497,Aterian osat:12846,Tuorepasta:12868,g,1072.0,8.0,35.5,9.0,1.25,,,
banaani chiquita,Hedelmät ja vihannekset:1,Hedelmät:2,Banaanit:18,g,364.0,0.1127,18.3,1.06,0.0,1.8,,
apetina 100 g paprika snack,Juustot:417,Ruokajuustot:447,Fetatyyppiset juustot:2857,g,1274.0,27.0,0.7,15.0,3.4,,,
kurkku suomi,Hedelmät ja vihannekset:1,Vihannekset:40,Kurkut:42,g,46.0,0.0641,1.4,0.56,0.01,0.7,,
klementiini pussi,Hedelmät ja vihannekset:1,Hedelmät:2,Sitrushedelmät:3,g,190.0,0.2,9.0,0.8,,1.9,Mandariinit:8,
kaurajuntta 400g ullan pakari,Leipä:701,Tuore leipä:702,Sekaleivät:714,g,933.0,2.3,40.9,8.9,1.1,4.0,,
kotimaista vapaan kanan munat l6,Munat:1784,Vapaan kanan kananmunat:1785,,g,602.0,10.3,0.3,12.5,0.34,,,
tortelloni sundried tomato & scamor,Valmisruoka:497,Aterian osat:12846,Tuorepasta:12868,g,1258.0,11.0,39.0,10.0,1.1,,,5.2
atria 900g karjalanpaisti,Liha:80,Naudanliha:178,Naudan pata- ja keittolihat:179,g,364.0,4.4,3.1,8.0,0.75,1.1,,
jyväbroiler 390g filee r-app,Liha:80,"Broileri, kana & kalkkuna:186",Broilerin fileet:192,g,417.0,1.9,0.2,20.0,0.64,0.1,,
sne 150g kotim meetvurstisuikale,Liha:80,Muut lihat ja lihajalosteet:230,"Suikaleet, kuutiot ja rouheet:3023",g,905.0,10.0,1.6,29.0,5.0,,,
oatly 1l ikaffe kaurajuoma,Maito:351,"Soija-, kaura- ja muut maitojuomat:364",Ei maitopohjaiset juomat lämpimästä:1763,g,240.0,3.0,6.5,1.0,0.1,0.8,,
paprika mix,Pakasteet:1075,Vihannes- ja juurespakasteet:1087,Maustam. kasvissek:1088,g,357.0,0.7,12.0,4.9,,5.5,,
arla edam 500g 24% juusto,Juustot:417,Edam juusto:418,Edamjuustopalat:1824,g,1350.0,24.0,0.0,26.0,1.4,,,
makeasipuli,Hedelmät ja vihannekset:1,Vihannekset:40,Sipulit:44,g,127.0,0.0895,4.8,1.25,9.25,1.7,,
